,PE_Shiller,PE_multpl,PE_investorsfriend,PE_fullratio,PE_HSI
1909-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1909-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1910-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-05-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-06-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-07-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-08-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-09-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-10-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-11-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1911-12-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-01-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-02-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-03-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
1912-04-01 00:00:00.000000000,18.47395230140494,11.88,20.1,29.55,11.83
